dong,month,age_group,총인구,1인가구수,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 많은 집단,생활서비스 이용이 많은 집단,lat,lng
녹번동,1,0,6524.0,1078.64,110.48,91.89,89.0,229.69,109.11,37.605314,126.934567
녹번동,1,1,7483.0,1091.55,134.29,70.41,121.19,177.64,95.42,37.605314,126.934567
녹번동,1,2,7082.1,896.02,105.49,63.38,95.16,52.68,93.69,37.605314,126.934567
녹번동,1,3,6080.9,1744.31,249.25,156.22,234.35,12.8,176.99,37.605314,126.934567
녹번동,2,0,6512.0,1076.86,108.98,98.08,93.3,237.48,103.68,37.605314,126.934567
녹번동,2,1,7468.8,1091.17,129.14,64.45,120.54,185.1,93.22,37.605314,126.934567
녹번동,2,2,7157.4,904.52,107.41,67.5,103.74,53.85,95.16,37.605314,126.934567
녹번동,2,3,6332.4,1829.64,241.8,166.77,233.98,13.75,180.29,37.605314,126.934567
녹번동,3,0,6502.0,1097.34,98.21,103.65,106.02,242.59,102.28,37.605314,126.934567
녹번동,3,1,7777.0,1129.72,117.09,70.32000000000001,111.89,192.0,98.0,37.605314,126.934567
녹번동,3,2,7454.4,937.94,97.28,74.11,102.99,54.91,91.67,37.605314,126.934567
녹번동,3,3,6750.7,1930.57,193.42,179.68,216.13,14.46,187.36,37.605314,126.934567
녹번동,4,0,6490.0,1086.26,99.31,99.8,90.78,227.68,103.11,37.605314,126.934567
녹번동,4,1,8017.0,1171.92,118.63,79.56,98.74,195.65,99.09,37.605314,126.934567
녹번동,4,2,7685.0,969.14,98.63,83.11,93.06,57.82,95.49,37.605314,126.934567
녹번동,4,3,7108.0,2025.35,199.07,177.76999999999998,212.85,15.45,195.17,37.605314,126.934567
녹번동,5,0,6510.0,1040.74,97.91,100.23,82.14,209.95,93.98,37.605314,126.934567
녹번동,5,1,8033.0,1186.73,122.65,84.3,112.84,189.08,104.58,37.605314,126.934567
녹번동,5,2,7924.0,990.94,107.98,77.33,97.72,59.93,93.49,37.605314,126.934567
녹번동,5,3,7242.0,2081.7200000000003,208.52,181.98,203.79,16.09,204.46,37.605314,126.934567
녹번동,6,0,6468.0,1063.42,96.34,89.49,87.22,214.99,94.98,37.605314,126.934567
녹번동,6,1,7886.0,1151.69,105.49,77.23,108.56,192.86,98.51,37.605314,126.934567
녹번동,6,2,7789.0,968.4,103.98,68.96,97.16,60.82,94.68,37.605314,126.934567
녹번동,6,3,7112.0,2024.55,187.42,174.1,194.44,16.64,195.74,37.605314,126.934567
녹번동,7,0,6456.0,1059.8,108.71,86.6,94.67,211.84,94.89,37.605314,126.934567
녹번동,7,1,7899.0,1154.34,114.19,82.25,111.66,199.5,108.77,37.605314,126.934567
녹번동,7,2,7822.0,974.26,100.66,69.84,90.05,61.53,95.33,37.605314,126.934567
녹번동,7,3,7106.0,2004.29,194.75,169.12,193.98,16.5,188.14,37.605314,126.934567
녹번동,8,0,6446.0,1067.87,113.52,85.19,98.28,211.03,98.51,37.605314,126.934567
녹번동,8,1,7893.0,1153.38,120.45,75.28999999999999,116.78,194.44,107.94,37.605314,126.934567
녹번동,8,2,7881.0,976.39,103.15,73.03,94.12,60.94,99.3,37.605314,126.934567
녹번동,8,3,7160.0,2036.68,204.55,167.66000000000005,204.4,16.58,190.53,37.605314,126.934567
녹번동,9,0,6460.0,1070.25,116.54,91.09,104.44,218.55,102.3,37.605314,126.934567
녹번동,9,1,7831.0,1149.58,111.81,82.54,115.58,194.89,103.83,37.605314,126.934567
녹번동,9,2,7796.0,973.05,106.98,68.58,99.94,59.870000000000005,98.77,37.605314,126.934567
녹번동,9,3,7090.0,2054.6,201.29,169.01,235.74,16.43,202.79,37.605314,126.934567
녹번동,10,0,6472.0,1062.09,104.05,93.94,89.57,216.26,102.24,37.605314,126.934567
녹번동,10,1,7734.0,1144.74,119.36,78.7,120.11,192.21,99.54,37.605314,126.934567
녹번동,10,2,7735.0,972.55,109.41,66.2,101.07,59.99,98.91,37.605314,126.934567
녹번동,10,3,7094.0,2121.09,213.58,176.31,282.17,17.08,194.29,37.605314,126.934567
녹번동,11,0,6434.0,1047.89,99.58,90.15,83.08,203.55,97.97,37.605314,126.934567
녹번동,11,1,7562.0,1118.6,112.22,78.51,117.9,188.44,93.59,37.605314,126.934567
녹번동,11,2,7679.0,962.37,104.06,70.86,102.25,59.63,95.14,37.605314,126.934567
녹번동,11,3,6894.0,1969.89,192.4,170.34,241.06,17.0,172.21,37.605314,126.934567
녹번동,12,0,7170.0,1164.17,114.89,88.29,83.16,230.69,107.71,37.605314,126.934567
녹번동,12,1,7961.0,1163.33,123.04,72.79,118.84,194.09,98.14,37.605314,126.934567
녹번동,12,2,8502.0,1052.57,112.19,72.77,99.87,67.53999999999999,103.85,37.605314,126.934567
녹번동,12,3,7620.0,2231.19,217.65,198.81,233.64,18.98,209.41,37.605314,126.934567
불광1동,1,0,8496.0,1292.74,142.9,108.38,123.29,266.75,127.45,37.602766,126.928839
