보충시작시각,보충타입,필요_보충_대수,순부족_대수,총출발건수,총도착건수,레코드수,year,month,day,weekday,is_weekend,hour_block,month_sin,month_cos,weekday_sin,weekday_cos,prev_need_bikes,prev_net_shortage,prev_departures,prev_arrivals,rolling_need_3,rolling_dep_3,rolling_arr_3
2024-01-02 16:00:00,오후4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,2,1,0,16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1.0,0.0,1.0,1.0,1.6666666666666667,2.0,2.0
2024-01-03 04:00:00,새벽4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,3,2,0,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.0,0.0,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667
2024-01-04 04:00:00,새벽4시보충,2.0,0.0,3.0,3.0,6.0,2024,1,4,3,0,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2024-01-04 16:00:00,오후4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,4,3,0,16,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,2.0,0.0,3.0,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
2024-01-05 04:00:00,새벽4시보충,1.0,0.0,3.0,3.0,6.0,2024,1,5,4,0,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,0.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667
2024-01-05 16:00:00,오후4시보충,1.0,0.0,3.0,3.0,6.0,2024,1,5,4,0,16,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,0.0,3.0,3.0,1.3333333333333333,2.3333333333333335,2.3333333333333335
2024-01-06 04:00:00,새벽4시보충,2.0,0.0,3.0,3.0,5.0,2024,1,6,5,1,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,0.0,3.0,3.0,1.0,2.3333333333333335,2.3333333333333335
2024-01-06 16:00:00,오후4시보충,0.0,0.0,1.0,1.0,2.0,2024,1,6,5,1,16,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2.0,0.0,3.0,3.0,1.3333333333333333,3.0,3.0
2024-01-11 16:00:00,오후4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,11,3,0,16,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,0.0,1.0,1.0,1.0,2.3333333333333335,2.3333333333333335
2024-01-13 04:00:00,새벽4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,13,5,1,4,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,0.0,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-15 04:00:00,새벽4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,15,0,0,4,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0,0.0,2.0,2.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
2024-01-15 16:00:00,오후4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,15,0,0,16,0.49999999999999994,0.8660254037844387,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-16 04:00:00,새벽4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,16,1,0,4,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1.0,0.0,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-16 16:00:00,오후4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,16,1,0,16,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,1.0,0.0,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-18 04:00:00,새벽4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,18,3,0,4,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.0,0.0,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-18 16:00:00,오후4시보충,1.0,0.0,1.0,1.0,2.0,2024,1,18,3,0,16,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,1.0,0.0,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667
2024-01-19 04:00:00,새벽4시보충,1.0,0.0,2.0,2.0,4.0,2024,1,19,4,0,4,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,1.0,0.0,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333
