측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501010000,101,서북권,111181,은평구,21,27,5,0.0151,0.02,0.48,0.0032
202501010100,101,서북권,111181,은평구,15,25,6,0.0168,0.0167,0.47,0.0032
202501010200,101,서북권,111181,은평구,19,23,5,0.0117,0.023,0.5,0.0031
202501010300,101,서북권,111181,은평구,20,22,9,0.0078,0.0294,0.53,0.0031
202501010400,101,서북권,111181,은평구,24,22,9,0.0057,0.0334,0.58,0.0031
202501010500,101,서북권,111181,은평구,19,22,8,0.0068,0.032,0.59,0.0032
202501010600,101,서북권,111181,은평구,18,22,8,0.0053,0.0334,0.61,0.0033
202501010700,101,서북권,111181,은평구,17,21,9,0.0058,0.0345,0.61,0.0033
202501010800,101,서북권,111181,은평구,24,20,7,0.0088,0.0306,0.58,0.0034
202501010900,101,서북권,111181,은평구,22,20,6,0.0077,0.0327,0.61,0.0035
202501011000,101,서북권,111181,은평구,32,22,12,0.0104,0.0296,0.61,0.0038
202501011100,101,서북권,111181,은평구,34,25,11,0.0132,0.0273,0.63,0.004
202501011200,101,서북권,111181,은평구,39,28,17,0.0167,0.0256,0.64,0.0042
202501011300,101,서북권,111181,은평구,50,33,19,0.0207,0.0227,0.64,0.0044
202501011400,101,서북권,111181,은평구,64,39,26,0.0296,0.0147,0.59,0.0041
202501011500,101,서북권,111181,은평구,70,45,26,0.0368,0.0094,0.56,0.0039
202501011600,101,서북권,111181,은평구,69,51,30,0.0385,0.01,0.56,0.0038
202501011700,101,서북권,111181,은평구,73,54,29,0.0377,0.0111,0.58,0.004
202501011800,101,서북권,111181,은평구,70,52,30,0.0333,0.0156,0.63,0.0041
202501011900,101,서북권,111181,은평구,68,56,32,0.0287,0.0211,0.69,0.0039
202501012000,101,서북권,111181,은평구,65,57,33,0.0187,0.0317,0.77,0.0035
202501012100,101,서북권,111181,은평구,63,60,32,0.0202,0.0288,0.73,0.0034
202501012200,101,서북권,111181,은평구,60,62,31,0.019,0.0269,0.72,0.0033
202501012300,101,서북권,111181,은평구,55,61,26,0.0143,0.0287,0.73,0.0031
202501020000,101,서북권,111181,은평구,49,60,24,0.0171,0.0197,0.65,0.003
202501020100,101,서북권,111181,은평구,36,56,18,0.0168,0.0175,0.62,0.0029
202501020200,101,서북권,111181,은평구,35,52,22,0.0183,0.0153,0.58,0.0029
202501020300,101,서북권,111181,은평구,30,47,13,0.0188,0.0137,0.55,0.0029
202501020400,101,서북권,111181,은평구,30,43,14,0.0189,0.0135,0.56,0.0029
